date,open,high,low,close,volume,adj_close,action
4/1/2014,558.712565,568.452595,558.712565,567.162558,7900,567.162558,SELL
4/2/2014,599.992707,604.832763,562.192568,567.002574,147100,567.002574,BUY
4/3/2014,569.852553,587.282679,564.132581,569.742571,5099200,569.742571,SELL
4/4/2014,574.652643,577.77265,543.002488,543.14246,6369300,543.14246,SELL
4/7/2014,540.742445,548.482483,527.15244,538.152456,4401700,538.152456,BUY
4/8/2014,542.602466,555.0025,541.612446,554.902556,3151200,554.902556,BUY
4/9/2014,559.622532,565.372554,552.952506,564.142557,3330800,564.142557,SELL
4/10/2014,565.002582,565.002582,539.902495,540.952433,4036900,540.952433,SELL
4/11/2014,532.552381,540.00244,526.532392,530.602392,3924800,530.602392,BUY
4/14/2014,538.252462,544.102429,529.56237,532.522453,2575100,532.522453,BUY
